Cat1,Cat2,Item1,Item2,Item3,Item4
5,1,4150073,4150078,4150077,4150070
5,2,4150073,4150076,4150078,4150077
5,4,4150073,4150074,4150078,4150072
5,6,4150073,4150075,4150078,4150077
5,3,4150073,4150078,4150077,4150071
1,2,4150076,4150078,4150077,4150070
1,4,4150074,4150077,4150072,4150070
1,6,4150075,4150078,4150077,4150070
1,3,4150078,4150077,4150070,4150071
2,4,4150076,4150074,4150078,4150072
2,6,4150075,4150076,4150078,4150077
2,3,4150076,4150078,4150077,4150071
4,6,4150075,4150074,4150078,4150077
4,3,4150074,4150078,4150072,4150071
6,3,4150075,4150078,4150077,4150071